regime,model,seed,fit_seed,train_loss,constants,nmse_iso,nmse_chan,mean_r_iso,mean_r_chan,r11_iso,r12_iso,r11_chan,r12_chan,pi_r_iso,pi_r_chan,wall_tau12_corr_chan
ISO_only,Champion,3,10403,0.9419388410682005,"{'c1': 0.1202549834340412, 'c2': 1.486600097646862, 'c3': -0.31929715356153565}",0.9417966399015429,164493928.35644755,0.28329253001262744,0.17476167516504507,0.02748093087425802,0.3857967215306103,0.166125686699785,0.26263666288114684,0.9608944270696084,0.5583547085041921,-0.7077704492319676
ISO_only,Champion,4,10404,0.937974996556447,"{'c1': 0.11551476627279489, 'c2': 1.4213173251762365, 'c3': -0.11241754233322064}",0.9336882446390378,20391073.534373775,0.2941610964224692,0.1868191181247496,0.011382658414095474,0.4025708745872938,0.17319062365090754,0.269140585686324,0.9672707040136641,0.5897753037251114,-0.6581994226756659
ISO_only,Champion,5,10405,0.9083214064811249,"{'c1': 0.10589582713142433, 'c2': 1.4987288531170468, 'c3': -0.06655838891269218}",0.9339675743318944,7148106.590045149,0.295291991502132,0.19810463524888167,-0.0016175380358817819,0.4095483614299272,0.1786549187937815,0.2760779945469135,0.9704815458575488,0.5962835330988197,-0.6351871143938802
ISO_only,Champion,6,10406,0.9221704772961461,"{'c1': 0.12027730419362732, 'c2': 1.4647683792704074, 'c3': -0.22212017453697205}",0.9380658035935934,79604685.27401407,0.2886571144995252,0.17833304930091676,0.0208975431679641,0.39345511964971536,0.16796659962810992,0.2654725404466894,0.9639411954640658,0.5729449651897114,-0.6902936280180152
ISO_only,Champion,7,10407,0.9165372573663751,"{'c1': 0.10788103841526693, 'c2': 1.483234021866723, 'c3': -0.0823902171562304}",0.9339822511627663,10952932.7531605,0.2948116269862655,0.19308916884417981,0.0014876494861060033,0.4077388456411738,0.17594002133685105,0.2745387264327383,0.9697365721698852,0.5941167333440345,-0.6435222072717761
ISO_only,Champion,8,10408,0.9244655718658683,"{'c1': 0.12038668561275469, 'c2': 1.4141594623251172, 'c3': 0.13147459882229526}",0.9284656272588947,27888251.59863694,0.3059576188900272,0.06186882089754291,-0.0067535339915419474,0.42069280716510776,-0.15078837670478526,0.2695543701158104,0.9717768359550826,0.6135840823401683,-0.3114008809436316
ISO_only,Champion,9,10409,0.9343401986666945,"{'c1': 0.11322384908916047, 'c2': 1.4780181001964112, 'c3': -0.2132977568481116}",0.937677846631058,73406704.13386847,0.28855462119146486,0.17883439831147027,0.015592727695279337,0.3958525756014866,0.1678122192442764,0.2683135832098995,0.9653966873525823,0.574032881524381,-0.6880712051879968
ISO_only,Champion,10,10410,0.956148178199693,"{'c1': 0.11190272030110007, 'c2': 1.4798789924430253, 'c3': -0.20070606400127675}",0.9372826054260732,64995723.87224616,0.28910782456517276,0.17950561088549608,0.013733214923774193,0.397183896597651,0.16809782766631887,0.26921495924744027,0.9659869519296177,0.5759561225168266,-0.6849788042998224
ISO_only,Champion,11,10411,0.9136807895730003,"{'c1': 0.10340219406215252, 'c2': 1.5212863091013948, 'c3': -0.07452773635157951}",0.9347755417770564,8962269.153790088,0.29448069720132625,0.19556647793927284,-0.0032723924811855105,0.4095239003602035,0.1766056327864273,0.27719019990377375,0.9707772541534756,0.5949580740197848,-0.6390120882036645
CHAN_only,Leonard,0,11000,0.9566616294661859,{'c1': 0.0724834177622521},1.0155776727858363,1.0749124799666725,0.18271484712796196,0.16050906685643132,0.24138367510248915,0.16633038646197834,0.16525612437523413,0.03912312123374777,0.4371065794267322,0.12871102070327003,0.15958553726020785
