model,ratio,seed,fit_seed,train_loss,sample_size_iso,sample_size_chan,nmse_iso,nmse_chan,mean_r_iso,mean_r_chan,tau12_r_chan,pi_r_iso,pi_r_chan,wall_tau12_corr_chan,c1,c2,c3,c4,extreme_total_q010_iso,extreme_captured_q010_iso,coverage_q010_iso,extreme_total_q010_chan,extreme_captured_q010_chan,coverage_q010_chan,extreme_total_q050_iso,extreme_captured_q050_iso,coverage_q050_iso,extreme_total_q050_chan,extreme_captured_q050_chan,coverage_q050_chan
Champion,0.05,1,71501,2.513873267337152,13107,13107,0.9722674085449499,1.0458337285062096,0.3003132399580573,0.2975253935128544,0.26655451145132747,0.9684679372683862,0.6066212044499771,-0.5871060171836869,0.04094449772729909,0.45826785238302203,2.82910278230188e-06,nan,2622,143,0.05453852021357742,2622,135,0.05148741418764302,13108,668,0.050961245041196215,13108,655,0.04996948428440647
Champion,0.05,2,71502,2.4343264021274043,13107,13107,0.9739062604685622,1.0443311728406426,0.30051448454387336,0.29642998033908347,0.26162348334685653,0.9669097003929369,0.6069982283973175,-0.5862905079810934,0.04219519474194949,0.4354362196534901,2.911941888666122e-06,nan,2622,114,0.043478260869565216,2622,142,0.05415713196033562,13108,664,0.05065608788526091,13108,680,0.051876716509002135
Champion,0.05,3,71503,2.424814746534,13107,13107,0.976849265334502,1.0416464514147203,0.3005165210342831,0.2958889093205009,0.25921066589558334,0.966127707495252,0.6071214719885394,-0.5858982207659681,0.040926705698135786,0.40710360457614764,2.7038830044385554e-06,nan,2622,129,0.04919908466819222,2622,135,0.05148741418764302,13108,630,0.0480622520598108,13108,680,0.051876716509002135
Champion,0.1,0,72000,2.611306416922311,26214,26214,0.9726019752919197,1.045480395660179,0.30022626517870604,0.2977668594711665,0.267663392432093,0.9688117681828408,0.6065115173445411,-0.587292756123096,0.040073796450802376,0.45740466059934554,2.7783630838186044e-06,nan,2622,295,0.11250953470633104,2622,254,0.09687261632341723,13108,1301,0.0992523649679585,13108,1327,0.10123588648153799
Champion,0.1,1,72001,2.3468421167884754,26214,26214,0.9730282145357321,1.045048634704355,0.3003094038031433,0.29753805887591706,0.2666082732712439,0.9684846571497436,0.606616098901323,-0.587115111889292,0.040317472652234725,0.4516733746127476,2.760989037566348e-06,nan,2622,266,0.10144927536231885,2622,292,0.11136536994660565,13108,1265,0.09650595056454074,13108,1358,0.10360085444003662
Champion,0.1,2,72002,2.433103891989824,26214,26214,0.9726504251689982,1.0454355246823763,0.3003333050516837,0.2974625137889715,0.2662637023820384,0.9683773930733516,0.6066483768516981,-0.5870573489662614,0.0408002830828021,0.4543527077193302,2.795480625994081e-06,nan,2622,261,0.09954233409610984,2622,265,0.10106788710907703,13108,1272,0.09703997558742752,13108,1365,0.10413487946292341
Champion,0.1,3,72003,2.5344168521857724,26214,26214,0.9754314892023641,1.0428016768482442,0.3003296478453954,0.29747308852939564,0.2663180006992515,0.9683943130035572,0.6066433647687792,-0.5870663318783423,0.03861168843765991,0.4303850296396276,2.680666337926972e-06,nan,2622,273,0.10411899313501144,2622,271,0.10335621662852784,13108,1362,0.10390601159597193,13108,1351,0.10306682941714983
Champion,0.2,0,73000,2.4092121830477775,52428,52428,0.9746936577899573,1.043445858984447,0.300432170246364,0.2970710060463047,0.26449513975919026,0.967823252636983,0.6067999813734827,-0.5867627591431765,0.04011411232386839,0.4335239851025414,2.7856214826739865e-06,nan,2622,476,0.18154080854309687,2622,541,0.20633104500381388,13108,2533,0.19324076899603296,13108,2604,0.19865730851388466
Champion,0.2,1,73001,2.511881741722472,52428,52428,0.9725221391874059,1.0455743892336133,0.30013360369439773,0.29798104455316965,0.26865717396813665,0.969118084856941,0.6064048471993335,-0.5874614308851174,0.03958233687422042,0.46003294525111543,2.7658098868065654e-06,nan,2622,532,0.2028985507246377,2622,503,0.19183829138062547,13108,2689,0.2051418980775099,13108,2606,0.1988098870918523
Champion,0.2,2,73002,2.4801520319756944,52428,52428,0.9741707133791314,1.0439359066205174,0.30040689989030206,0.2971870772738892,0.26501958490563987,0.967988219790955,0.6067574480785428,-0.5868497522269384,0.040258252421157985,0.4389077403442938,2.7972973596372285e-06,nan,2622,519,0.19794050343249428,2622,557,0.2124332570556827,13108,2666,0.2033872444308819,13108,2754,0.21010070186145866
Champion,0.2,3,73003,2.522783372351816,52428,52428,0.9710998809325068,1.0470782328078472,0.3001348904244506,0.29797865754441977,0.2686443466329072,0.9691141410149928,0.6064062720087361,-0.5874592747066294,0.04068623016045757,0.47275083372500254,2.832171948051166e-06,nan,2622,534,0.2036613272311213,2622,506,0.19298245614035087,13108,2636,0.20109856576136712,13108,2679,0.20437900518767166
Champion,0.5,0,76000,2.47208139483376,131072,131072,0.9734059110368549,1.044670775418158,0.30030963772632613,0.29753568813086234,0.26660510387860464,0.9684836743577514,0.6066164172631316,-0.5871144419724492,0.040024397768476154,0.4483652614743221,2.7868985226211647e-06,nan,2622,1265,0.4824561403508772,2622,1290,0.4919908466819222,13108,6487,0.4948886176380836,13108,6591,0.5028227036924016
Champion,0.5,1,76001,2.458857489835273,131072,131072,0.9737504540777011,1.0443388489921661,0.3002617794561843,0.29767128490276945,0.26723620403430653,0.9686795757672901,0.606554949318579,-0.5872204085142003,0.039419667935971535,0.44652242391535896,2.805178604706118e-06,nan,2622,1272,0.4851258581235698,2622,1295,0.4938977879481312,13108,6485,0.494736039060116,13108,6482,0.49450717119316445
Champion,0.5,2,76002,2.5091708852790955,131072,131072,0.9725039129356817,1.0455800103440411,0.30023885753342133,0.29773453413373907,0.2675153545409479,0.9687659933947759,0.6065267250297933,-0.5872677208327822,0.04023155973977402,0.4579897894565704,2.7937073870290497e-06,nan,2622,1340,0.5110602593440122,2622,1255,0.4786422578184592,13108,6592,0.5028989929813854,13108,6500,0.49588037839487337
Champion,0.5,3,76003,2.4756619331644987,131072,131072,0.9728744131199539,1.0452049083886976,0.3002235923680166,0.29777316383687225,0.2676943776871552,0.9688213450278826,0.6065083167780049,-0.5872979623798616,0.03984606768058575,0.45505834246142407,2.7743046086860023e-06,nan,2622,1323,0.5045766590389016,2622,1311,0.5,13108,6630,0.5057979859627708,13108,6631,0.5058742752517547
